en,hmr
"to foresee, to foreknow",Hrietlawk (v)
knowledge,Hrietna (n)
science,Hrietna var (n)
to be a witness,Hrietpui (v)
to know well,Hrietsuok (v)
to recollect,Hrietsuok nawk (adv)
to know vaguely,Hrietthawi (v)
"to understand, to comprehend",Hrietthiem (v)
"to misunderstand, to not understand",Hrietthiem lo (v)
"to explain, to cause to know, to show how to do",Hriettir (v)
one who knows,Hrietu (n)
"remember, to keep in mind",Hrietzing (v)
"a louse, parasitical insects",Hrik (n)
a body louse,Hrikthra (n)
one who is great and whose greatness need no further mention,Hril loa hmang (phrase)
"unspeakable, impossible to express",Hril ruol lo (adj)
worthless to speak,Hrila trangkai lo (v)
outbreak of epidemic or disease,Hrileng (v)
to explain,Hrilfie (v)
a commentary book,Hrilfiebu (n)
that which explains,Hrilfiena (v)
a commentator,Hrilfietu (n)
"to be baffled, not know what to do, say or think",Hrilhai (v)
to be lost with words,Hrilhai thlak (v)
"to advise, to give hint",Hrilhmu (v)
"to belittle, to speak against",Hrilhnuol (v)
to make someone understand,Hrilhriet (v)
"by telling, by speaking",Hrilin (v)
to be beyond human words to express,Hrilin a siek nawh (v)
compare,Hrilkhi (v)
"to speak out, to make known, to speak openly",Hrillang (v)
"to foretell, to prophesy, to say beforehand",Hrillawk (v)
"prediction, prophesy",Hrillawkna (n)
"to praise, to recommend",Hrilmawi (v)
"recommendation, word of praise",Hrilmawina (n)
"to repeat, to iterate",Hrilnon (v)
"to speak for, to plead for",Hrilpui (v)
"an advocate, one who pleads for",Hrilpuitu (n)
to say speak evil of,Hrilsie (v)
"announce, to disclose, to reveal",Hrilsuok (v)
"to make a mistake while speaking, to say a thing by mistake",Hrilsuol (n)
"to hint, to speak vaguely",Hrilthawi (v)
"to frighten, to scare",Hriltri (v)
one who speak,Hriltu (n)
"to exaggerate, to stress",Hriluor (v)
exaggeration,Hriluorna (n)
"as it is, so it is, it is",Hrim (adv)
of all type and kind,Hrim hrim (adv)
"alive, to live",Hring (adj)
"to bear, to beget, to bring forth",Hring (v)
"green (colour), fresh, green (not withered)",Hring (adv)
a cannibal,Hring fa (n)
"still-born, to give birth to a dead offspring",Hringhlum (v)
"the mount believed to be crossed by the spirits of the dead and on which the land of the living can be seen (the spirits of the dead pluck and wear flowers in their hair or ears, and after that have no desire to turn and look back towards the earth they have left)",Hringlang tlang (n)
poetical term for human being,Hringmi (n)
life,Hringnun (n)
"an epidemic, a pestilence, plague",Hripui (n)
"healthy, free from sickness",Hrisel (adj)
"health, hygiene",Hriselna (n)
"to have a cold, to be unwell",Hritlang (v)
influenza,Hritlang khawsik (n)
to get or contract any disease,Hrivoi (v)
"an open or empty space where large people can gather, a large mat or a threshing floor where paddy are manually crashed",Hrizawl (n)
dry,Hro (v)
aggressive nature,Hrohrang (adj)
"huge, gigantic, big",Hrol (adj)
"large and well built, robust in work and food habit",Hromhraw (adj)
"in unity, together",Hron (adj)
hardening,Hrot (v)
"wipe, mop",Hru (v)
"a creeper, cane, rope, string",Hrui (n)
name of creeper,Hruichun (n)
the name of a creeper with a bean-like fruit,Hruiduk (n)
"string, rope",Hruihruol (n)
the name of a creeper,Hruipawl (n)
the name of a creeper with edible fruit,Hruipuithei (n)
the name of a climbing plant,Hruisen (n)
"a creeper, a climbing plant",Hruizam (n)
to rub or wipe dry,Hruk hul (v)
"to scour, to rub clean, to wipe (using cloth, etc)",Hrukfai (v)
"a duster, wiper, mopper",Hrukfaina (n)
"close by, along side",Hrulah (adv)
"as it is, without polishing",Hrumhriel (adj)
the part of a four-legged animal meat usually reserved for a Hmar man’s ‘sasem’,Hruoi (n)
"to roll up in the hand, to twist",Hruol (v)
a rope,Hruol (n)
to roll up in the hand to be made round in shape,Hruolmum (v)
inadequately ripen fruit due to deformity or malformation,Hrût (adj)
"to thresh, to rub, to wears, to move along",Hrùt (v)
"to thresh and level off, to level the surface, to roll over and smoothen",Hrùtnam (v)
a roller,Hrutruolna (n)
"wet, to be wet, to get wet",Hu (adj)
"to be equivalent, to be equal to",Hu (v)
"vapour, steam",Hu (n)
"in a company, in a band, a party, a group",Huho (n)
"the whistle of the mouth when Hmars made when carrying heavy loads, etc",Hui (n)
name of a species of ‘vahui’ bird,Hûiêm (n)
to make a grunting noise when carrying a load,Huihah! (intjn)
