en,hmr
"a fool, an idiot, a silly person, a mad person",Mi invet (n)
"a liar, a miser, a niggard",Mi khelhlip (n)
satisfying to others,Mi mittlung (adj)
"everybody, all and sundry",Mi nazong (n)
"all people, everybody, all and sundry",Mi po po (n)
belonging to another,Mi ta (n)
"everyone, every people",Mi tinreng (n)
"a boaster, a braggart, one who always boast of himself",Mi uongthuong (n)
a passer-by,Mi veivak (n)
a hypocrite,Mi verther (n)
"a treacherous, a deceitful person",Mi vervek (n)
"a bashful man, a shy and timid person",Mi zakzum (n)
"a sluggard, a lazy or slothful person",Mi zawmthaw (n)
"a nimble person, a lively and agile person",Mi zuonzang (n)
a Hmar Khawlhring sub clan,Midang (n)
coward,Midawizep (n)
a smart and useful person,Mifel (n)
"a dwarf, a stunted person",Mifere (n)
a senior and respectable person,Mihlun (n)
"a warrior, a brave man",Mihrang (n)
a human being,Mihriem (n)
a Hmar Lungtau sub clan,Mihriemate (n)
"a stranger, one belonging to another village",Mikhuol (n)
a guest room,Mikhuol pindan (n)
"to match, matching, to put it right",Mil (v)
a Hmar Khawlhring sub clan,Milai (n)
"a picture, a portrait, an effigy, an idol, an image, a tableau",Milim (n)
to worship idol,Milim bie (v)
idolatry,Milim biekna (n)
"an idolater, worshipper of idol",Milim bietu (n)
"to draw a picture, to paint a picture",Milim ziek (v)
a paint brush,Milim ziekna (n)
"a painter, an artist",Milim ziektu (n)
an individual,Mimal (n)
a simple and unwise person,Mimawl (n)
a variety of maize,Mimhnak (n)
"the commoners, the general public",Mimir (n)
"a landslip, landslide (v), occurrence of landslide",Mimkei (n)
a single grain of maize (of the famous Liendo folktale),Mimpum (n)
the month of December,Mimtukthla (n)
"an ordinary man, ordinary people",Minaran (n)
"a white man, an Englishmen",Mingo (n)
minister,Minister (n)
"a female, of feminine gender",Minu (n)
a crowd,Mipui (n)
a Rongmei Naga,Mirawng (n)
"a scholar, intellect",Miril (n)
"a fly, a mosquito",Mise (n)
a poor man,Misie (n)
a Hindi originated term for craftsmen (in house construction) or carpenters,Mistiri (n)
